,movie_title,closeness
315,Trading Places,0.2333223719862452
316,Witness,0.23331079483314127
317,Sideways,0.23330205038771148
318,Tusk,0.23328677839851023
319,Transamerica,0.2332458888790359
320,Watchmen,0.23323061688983476
321,Stuck on You,0.23322248825042136
322,Solitary Man,0.23321596070664963
323,Transformers,0.23320413723113922
324,The Cabin in the Woods,0.23318824943592179
325,Wall Street,0.23318406195501162
326,The History Boys,0.23313048683160412
327,The Lost World: Jurassic Park,0.23306287133102796
328,Shark Night,0.23305548165883366
329,The Raven,0.2329739489422915
330,Nebraska,0.23291914220685164
331,Trust,0.2328300966569122
332,Scooby-Doo,0.23282344595193763
333,Scream 4,0.23281950479343394
334,The Interpreter,0.2327842806893085
335,The Big Hit,0.2327240548609264
336,The Spiderwick Chronicles,0.23271962105760977
337,The Express,0.2327107534509769
338,The Curse of the Were-Rabbit,0.23270274797276652
339,Year One,0.23269424984974335
340,The Girl with the Dragon Tattoo,0.2326714650271445
341,Sky High,0.2326560698767403
342,Midnight in Paris,0.23262022996659873
343,The Wolverine,0.23261764358133066
344,Torn Curtain,0.2326128402944045
345,Phenomenon,0.23257564561102725
346,Shopgirl,0.23257342870936898
347,The Blind Side,0.23254202260254384
348,The Frozen Ground,0.2325389435724629
349,The Call,0.23250876907767049
350,The Pelican Brief,0.2324994088262244
351,The Lost Boys,0.2324747765855774
352,The Mask,0.2324462031864266
353,Woodstock,0.2324223099129988
354,That's My Boy,0.2323593745381456
355,Return of the Living Dead 3,0.23235900505453572
356,The Conjuring 2,0.23234508783857025
357,The Hills Have Eyes,0.23233437281388858
358,The Work and the Glory II: American Zion,0.23226109189796332
359,The 5th Wave,0.2322575202230696
360,Novocaine,0.23217845073059243
361,The Italian Job,0.2320427270846266
362,Office Space,0.23196784507305915
363,Takers,0.23195860798281662
364,This Is England,0.23193890219029886
365,Now You See Me 2,0.23191266885400963
366,Underworld,0.23188545022809448
367,The Santa Clause,0.23187313410777108
368,Moneyball,0.23182731814016724
369,What Dreams May Come,0.2318202979515828
370,The World Is Not Enough,0.2318072428640398
371,Take the Lead,0.23178507384745753
372,Unstoppable,0.23175933315598127
373,The Broken Hearts Club: A Romantic Comedy,0.23167361295852912
374,Steve Jobs,0.23165193658675978
375,Killer Joe,0.23158542953701244
376,The Incredible Hulk,0.23158235050693157
377,Rubber,0.23157840934842808
378,Night of the Living Dead,0.23155217601213884
379,The Messenger,0.23155205285093539
380,The Mask of Zorro,0.23149921669474743
381,Silent Hill: Revelation 3D,0.2314941670854148
382,Woo,0.23147027381198707
383,The Funeral,0.23143283280620344
384,Two Weeks Notice,0.23137654813632477
385,White Fang,0.23137371542865035
386,Twilight Zone: The Movie,0.23136386253239127
387,Your Highness,0.23132297301291713
388,Volver,0.2313194013380232
389,W.,0.23128294562186555
390,The Transporter,0.23128245297705244
391,The Bourne Supremacy,0.23125794389760865
392,The Hunt,0.2312557269959504
393,Very Bad Things,0.23123281901214882
394,The Fog,0.23121508379888273
395,No Country for Old Men,0.2312144679928665
396,How to Train Your Dragon,0.231212127930005
397,My Big Fat Greek Wedding,0.23119784123042963
398,Khumba,0.23114500507424157
399,The Invasion,0.23112825515060148
400,Over the Hedge,0.23110510084439326
401,In Bruges,0.23109537110933748
402,Syriana,0.23105066359256307
403,This Is 40,0.2310461066280433
404,The Legend of Zorro,0.23104191914713335
405,Safety Not Guaranteed,0.2309983200811879
406,Win a Date with Tad Hamilton!,0.23097541209738598
407,The Finest Hours,0.23096802242519182
408,Street Fighter: The Legend of Chun-Li,0.23096174120382704
409,Mamma Mia!,0.23095114934034852
410,Undisputed,0.230933044643473
